resource_id,resource_type,title,normalized_title,official_title,description,issuing_authority,publisher,publication_year,publication_date,effective_from,effective_until,academic_year,curriculum_name,curriculum_version,regulation_reference,regulation_status,document_status,education_level,phase,grade_from,grade_to,subject,subject_variant,element,content_scope,language,official_source_url,download_url,final_resolved_url,source_domain,source_page,local_file_path,file_name,file_extension,mime_type,file_size_bytes,sha256,download_timestamp,last_verified_at,license_category,license_name,license_url,copyright_holder,commercial_use_allowed,modification_allowed,redistribution_allowed,attribution_required,verification_status,verified_by,supersedes_resource_id,superseded_by_resource_id,related_resource_ids,notes
AUTO-127,document,,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=rujukan&id=127,https://kurikulum.kemendikdasmen.go.id/file/1767520310_manage_file.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\resource_127__127.pdf,resource_127__127.pdf,pdf,application/pdf,979644,ec6ec4fa100f6a5f33b576c1b88a2b95e1f62ba9c00b7eb42b5f469b457c9abc,2026-07-28T04:15:17Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-310,document,Antropologi,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=310,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/17.%20Final%20Panduan%20Mata%20Pelajaran%20Antropologi_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\antropologi__310.pdf,antropologi__310.pdf,pdf,application/pdf,3077587,41f7e919245140ff7367d97ed2507d057b7a7e2e9bdb65cad94b791e4ce60c9b,2026-07-28T04:15:41Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-317,document,Prakarya Rekayasa,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=317,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/24.%20Final%20Panduan%20Mata%20Pelajaran%20Prakarya%20kewirausahaan_14_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\prakarya_rekayasa__317.pdf,prakarya_rekayasa__317.pdf,pdf,application/pdf,6652370,960d37101ea987124557928931ef9f918b2d02adfb75aeb2b66894b43ab4dcad,2026-07-28T04:15:01Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-318,document,Prakarya Pengolahan,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=318,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/25.%20Final%20Panduan%20Mata%20Pelajaran%20Prakarya%20Pengolahan%20&%20Prakarya%20dan%20Kewirausahaan%20Pengolahan_13_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\prakarya_pengolahan__318.pdf,prakarya_pengolahan__318.pdf,pdf,application/pdf,5824488,42911f6ffa7f9340f9049e2129d3db69a55bd1b86f3be1add284cab21bf9cb40,2026-07-28T04:14:24Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-320,document,Bahasa Arab,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=320,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/26.%20Final%20Panduan%20Mata%20Pelajaran%20ARAB_12_Sep_2025_revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_arab__320.pdf,bahasa_arab__320.pdf,pdf,application/pdf,3274509,8dfa177133c1161aba55e0682f7fb6dd9a815e74ca221b5e1303af2672d959e1,2026-07-28T04:15:44Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-302,document,Fisika,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=302,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/10.%20Final%20Panduan%20Mata%20Pelajaran%20Fisika_18_09_2025_Revisi%204.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\fisika__302.pdf,fisika__302.pdf,pdf,application/pdf,4534243,a153ef24bf488f31c00f17639343a7f498211b15f089bd96de8f8ddab42048d7,2026-07-28T04:21:33Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-303,document,Biologi,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=303,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/9.%20Final%20Panduan%20Mata%20Pelajaran%20Bilogi_18_Sep_2025_revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\biologi__303.pdf,biologi__303.pdf,pdf,application/pdf,6526443,3d1897b3169f3ca9d69e0aee487191281baa9a8789a7b74253c53155d6a26185,2026-07-28T04:21:28Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-307,document,Geografi,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=307,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/14.%20Final%20Panduan%20Mata%20Pelajaran%20Geografi_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\geografi__307.pdf,geografi__307.pdf,pdf,application/pdf,10675438,211d602fd8a7111787b3fc88fd05de319e0e4ee66940b94bd729f60aaea73120,2026-07-28T04:21:36Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-308,document,Ekonomi,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=308,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/15.%20Final%20Panduan%20Mata%20Pelajaran%20Ekonomi_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\ekonomi__308.pdf,ekonomi__308.pdf,pdf,application/pdf,4132267,2f6cb81392a4166cb28f42d08cce84db6fa2167a12c17e48b88b3597be70c65b,2026-07-28T04:21:30Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-321,document,Bahasa Jepang,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=321,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/27.%20Final%20Panduan%20Mata%20Pelajaran%20Bahasa%20Jepang_14_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_jepang__321.pdf,bahasa_jepang__321.pdf,pdf,application/pdf,6263888,22e873a13c43cf0bf40933dc490956d7ba4702adf4ee26f72e43fc2bf67e9998,2026-07-28T04:19:20Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-322,document,Bahasa Jerman,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=322,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/28.%20Final%20Panduan%20Mata%20Pelajaran%20Bahasa%20Jerman_14_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_jerman__322.pdf,bahasa_jerman__322.pdf,pdf,application/pdf,4132424,8c35b743b9534f0c1a1dbc78a34f298fa1ce43b23a19f4b802a17e3ecbdd92ec,2026-07-28T04:20:58Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-323,document,Bahasa Korea,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=323,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/29.%20Final%20Panduan%20Mata%20Pelajaran%20Bahasa%20Korea_12_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_korea__323.pdf,bahasa_korea__323.pdf,pdf,application/pdf,4181849,1664a4c7956e89ec1299e53c0fb07c2252913caf428072090f55899d5346389b,2026-07-28T04:21:01Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-324,document,Bahasa Mandarin,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=324,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/30.%20Panduan%20Mata%20Pelajaran%20Bahasa%20Mandarin.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_mandarin__324.pdf,bahasa_mandarin__324.pdf,pdf,application/pdf,3794166,5383d9d7754bfb05f42bbe9747a06bacd781c13191839fe71f38ba90adb892aa,2026-07-28T04:21:16Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
AUTO-325,document,Bahasa Prancis,,,,,,,,,,,,,,,,,,,,,,,,id,,https://kurikulum.kemendikdasmen.go.id/service/download.php?kategori=pmp_download&id=325,https://kurikulum.kemendikdasmen.go.id/file/panduan/dokumen/31.%20Final%20Panduan%20Mata%20Pelajaran%20Bahasa%20Prancis_13_09_2025_Revisi%203.pdf,kurikulum.kemendikdasmen.go.id,,08_raw_downloads\pdf\bahasa_prancis__325.pdf,bahasa_prancis__325.pdf,pdf,application/pdf,3641063,479be6450c55d2308f48d8aa1e0f54fc28a1093bf5c4db7accdf6d335078c0f1,2026-07-28T04:21:18Z,,OFFICIAL_PUBLIC_ACCESS,,,,,,,,to_confirm,,,,,auto-registered from download log; title/license pending review
